Game,Market,Profit Percentage,Outcome,Bookmaker,Price
Detroit Pistons vs. Chicago Bulls,h2h,0.24%,Chicago Bulls,FanDuel,2.88
Detroit Pistons vs. Chicago Bulls,h2h,0.24%,Detroit Pistons,BetRivers,1.5376344086021505
